AUDIO SIMILARITY REPORT (PANNs CNN14 + LanceDB)
================================================================================
                orig_title      cover_artist                cover_title  match_value
         Love On The Brain    Joseph Solomon          Love On The Brain     0.710884
                    Sparks      Alyssa Baker Can’t Help Falling In Love     0.710581
        Birds Of A Feather       Hannah Grae                Sailor Song     0.709888
                  Stitches     Alyssa Bernal                  I’m Yours     0.709884
                    Coffee     Alyssa Bernal                  I’m Yours     0.709764
                 I’m Yours  Jasmine Thompson                       Halo     0.709738
         Take Me To Church       Matt Wilson        We Can’t Be Friends     0.709291
             Cruel Summer       Kina Grannis            Sweater Weather     0.708684
Can’t Help Falling In Love       Matt Wilson        We Can’t Be Friends     0.708637
                      Halo              IMY2                      Creep     0.708195
Can’t Help Falling In Love     Conor Maynard                   Stitches     0.707774
                    Snooze      Will Gittens                 Easy On Me     0.707615
                  Nonsense      Dixzie Cruel                   Nonsense     0.707444
               Sailor Song       Audrey Mika          Love On The Brain     0.707326
                 I’m Yours            Emilee                     Coffee     0.707005
                    Coffee      Alyssa Baker Can’t Help Falling In Love     0.706757
                    Snooze      Celine Wanyi                     Snooze     0.706402
           Sweater Weather       Audrey Mika          Love On The Brain     0.706338
         Love On The Brain       Audrey Mika          Love On The Brain     0.706305
                Easy On Me       Audrey Mika          Love On The Brain     0.705983
                      Bags   Hearts & Colors                  I’m Yours     0.705140
        Birds Of A Feather    Joseph Solomon          Love On The Brain     0.705046
               Sailor Song       Matt Wilson        We Can’t Be Friends     0.704752
         Love On The Brain       Hannah Grae                Sailor Song     0.704734
           Sweater Weather      Celine Wanyi                     Snooze     0.704252
        Birds Of A Feather      Dominic Fike                       Bags     0.704077
                     Creep     Conor Maynard                   Stitches     0.703852
        Birds Of A Feather        Lucy Ellis Can’t Help Falling In Love     0.703593
                     Creep      Dixzie Cruel                   Nonsense     0.702852
       We Can’t Be Friends       Teddy Swims               Cruel Summer     0.702002
Can’t Help Falling In Love      Alessia Cara            Sweater Weather     0.701533
                  Stitches      Alessia Cara            Sweater Weather     0.701393
                  Nonsense  Jasmine Thompson                       Halo     0.700834
                    Coffee       Audrey Mika          Love On The Brain     0.700239
                    Sparks       Audrey Mika          Love On The Brain     0.700145
       We Can’t Be Friends      Celine Wanyi                     Snooze     0.699997
                 I’m Yours        Nica Tupas        We Can’t Be Friends     0.699866
          Do I Wanna Know?        Lucy Ellis Can’t Help Falling In Love     0.699489
                      Halo      Kina Grannis            Sweater Weather     0.699130
        Birds Of A Feather      Will Gittens                 Easy On Me     0.698611
                Easy On Me      Dixzie Cruel                   Nonsense     0.698303
         Love On The Brain        Lucy Ellis Can’t Help Falling In Love     0.698009
                     Creep      Will Gittens                 Easy On Me     0.697775
             Cruel Summer         Peter Katz                       Halo     0.697720
                      Halo       Teddy Swims               Cruel Summer     0.697550
               Sailor Song Marianne Beaulieu                Sailor Song     0.697546
         Take Me To Church  Jasmine Thompson                       Halo     0.697427
                  Nonsense      Dominic Fike                       Bags     0.697386
                      Halo        Peter Katz                       Halo     0.697360
         Love On The Brain  Jasmine Thompson                       Halo     0.697356
                      Halo       Matt Wilson        We Can’t Be Friends     0.697059
             Cruel Summer            Lloyiso                 Easy On Me     0.696465
               Sailor Song      Celine Wanyi                     Snooze     0.696156
       We Can’t Be Friends              IMY2                      Creep     0.695911
        Birds Of A Feather       Audrey Mika          Love On The Brain     0.695360
                  Nonsense       Hannah Grae                Sailor Song     0.695354
               Sailor Song      Dixzie Cruel                   Nonsense     0.695226
               Sailor Song      Dustin Vuong                     Coffee     0.695047
Can’t Help Falling In Love      Alyssa Baker Can’t Help Falling In Love     0.694402
                    Sparks       Connie Park                     Sparks     0.693852
          Do I Wanna Know?      Dixzie Cruel                   Nonsense     0.693838
                     Creep        Nica Tupas        We Can’t Be Friends     0.693733
             Cruel Summer             Hozier           Do I Wanna Know?     0.693194
         Take Me To Church      Dixzie Cruel                   Nonsense     0.692597
                      Halo     Billie Eilish                      Creep     0.692583
